Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-20,2015-11-20,2015-11-20,2015-11-20,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
Jet Luxury at the Trump SoHo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,88,91,-1,86,84,81,-1,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Langham Place New York Fifth Avenue,47,38,49,12,0,38,3,-1,12,13,12,15,8,13,15,23,1,7,8,-1,-1,-1,-1,16,82,87,79,-1,-1,81,-1,-1,-1,73,-1,-1,84,75,93,95,60,85,73,-1,-1,-1,-1,-1,51,47,47,56,62,60,-1,100,60,-1,-1,-1,64,64,77,95,59,59,67,73,53,60,-1,59,-1,-1,-1,-1,49,38,51,56,39,49,46,-1,69,46,62,54,44,45,50,-1,28,-1,57,-1,-1,54,-1,-1,72,53,64,73,54,57,65,72,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,44,48,52,42,40,45,50,-1,41,42,-1,-1,-1,-1,59,40,50,54,60,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,33,-1,-1,39,-1,-1,56,56
Le Parker Meridien New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,10,-1,-1,10,7,4,-1,18,15,-1,-1,-1,-1,-1,45,49,49,42,70,62,57,-1,59,64,68,73,53,58,60,56,74,50,65,59,66,71,76,80,71,71,62,59,83,79,67,-1,45,49,54,58,-1,64,-1,42,53,49,48,43,88,72,67,-1,-1,58,62,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,78,73,50,55,59,63,54,50,45,46,59,54,50,-1,71,67,-1,-1,-1,49,53,57,39,41,45,48,40,37,33,29,62,53,49,-1,-1,-1,-1,-1,15,0,0,-1,8,11,14,16,-1,-1,-1,-1,76,69,66,61,100,97,91,-1
Loews Regency New York Hotel,5,10,5,-1,0,0,-1,-1,5,3,5,-1,1,3,5,-1,1,3,-1,-1,3,5,3,1,65,69,73,78,56,65,69,65,69,73,69,100,-1,69,73,82,-1,76,-1,-1,80,78,76,82,-1,86,100,-1,65,69,-1,-1,-1,-1,-1,-1,62,61,64,-1,73,61,64,76,54,69,76,73,67,63,63,56,44,47,48,56,54,61,54,60,73,69,45,47,65,38,36,38,65,29,27,43,27,29,38,40,47,36,31,48,26,36,31,40,45,45,39,43,26,31,52,29,47,52,47,-1,65,34,31,52,29,29,31,31,54,17,17,17,34,17,17,43,52,-1,-1,-1,23,6,13,23,6,12,13,15,-1,-1,35,41,-1,-1,35,54,-1,-1,50,-1
Magnuson Convention Center Hotel,50,53,53,50,23,26,26,24,32,35,33,30,7,9,8,6,0,1,1,0,5,7,7,6,75,79,78,74,74,78,77,76,-1,54,55,52,96,100,-1,-1,75,79,77,76,76,78,77,73,79,83,81,-1,66,70,76,73,63,62,62,59,-1,-1,-1,-1,86,90,89,-1,61,65,63,61,59,63,62,59,-1,-1,-1,-1,66,70,67,65,69,72,73,69,-1,76,76,-1,65,69,-1,-1,52,56,54,51,-1,58,58,55,59,62,63,-1,-1,-1,-1,-1,-1,58,57,54,51,55,54,51,44,-1,-1,-1,-1,-1,-1,-1,24,27,25,23,-1,32,31,29,-1,-1,-1,-1,11,14,13,11,9,11,11,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Manhattan NYC-an Affinia hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,52,49,-1,-1,-1,-1,-1,-1,-1,-1,47,40,43,-1,-1,-1,-1,-1,-1,69,-1,-1,-1,77,76,74,85,93,100,-1,-1,96,-1,-1,-1,-1,80,87,-1,68,75,73,82,75,95,-1,65,71,62,71,-1,-1,-1,-1,-1,-1,-1,69,-1,64,53,59,-1,44,51,57,59,59,63,-1,46,50,55,47,37,42,43,41,-1,37,39,44,-1,45,50,57,-1,46,48,-1,34,36,38,-1,-1,-1,-1,-1,26,26,26,26,-1,-1,-1,-1,-1,-1,-1,-1,9,3,0,2,-1,-1,-1,-1,-1,-1,-1,33,-1,-1,34,42
Martha Washington,52,48,59,58,38,-1,42,-1,30,23,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,63,75,77,56,70,67,81,-1,48,-1,-1,100,76,80,77,32,40,47,94,-1,46,-1,-1,-1,66,77,77,49,31,54,24,-1,40,-1,-1,80,72,88,88,43,48,57,88,29,45,50,-1,-1,29,-1,-1,49,42,52,54,38,70,37,-1,-1,49,42,51,42,35,50,49,29,-1,37,-1,-1,-1,-1,-1,-1,36,51,66,36,44,51,54,31,31,41,-1,-1,-1,-1,-1,28,42,38,45,-1,37,41,-1,-1,31,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,21,22,-1,29,3,8,18,12,0,0,-1,-1,-1,24,37,-1,-1,-1,41,61,36,29,41,44
McCarren Hotel & Pool,-1,-1,52,-1,36,42,39,-1,36,96,-1,-1,23,22,26,24,25,19,17,20,13,13,17,-1,-1,52,72,50,56,39,45,-1,-1,47,47,51,100,60,72,59,56,88,52,95,83,44,71,76,29,45,45,-1,50,37,-1,-1,32,51,-1,-1,63,71,44,52,60,62,-1,57,-1,-1,47,50,-1,-1,-1,-1,48,76,66,47,48,-1,42,48,-1,-1,-1,-1,-1,-1,-1,27,25,29,25,27,-1,18,25,-1,32,25,-1,35,32,-1,23,-1,-1,26,-1,-1,24,30,38,45,18,26,20,41,-1,25,-1,14,-1,-1,27,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,0,4,12,22,18,11,20,25,13,11,13,15,0,-1,-1,-1
Millenium Hilton,17,23,23,43,33,23,6,10,-1,15,9,28,16,6,9,33,33,9,6,-1,30,4,-1,-1,-1,66,71,47,66,-1,46,-1,74,66,72,-1,-1,-1,87,93,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,68,78,-1,-1,-1,-1,-1,-1,-1,71,71,80,69,69,56,73,91,78,69,57,53,-1,69,-1,-1,-1,86,61,61,93,57,57,-1,-1,-1,46,68,-1,31,45,61,69,33,30,30,29,65,61,53,53,-1,53,69,100,32,46,48,-1,20,0,11,20,63,50,42,17,69,-1,43,-1,-1,43,50,61,11,30,53,69,-1,50,16,-1,63,50,41,65,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,17,-1,-1,20,-1,-1,26,-1,-1,-1
NOMO SOHO,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,4,0,85,92,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,91,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,96,-1,65,71,78,-1,-1,-1,-1,65,-1,-1,-1,-1,79,85,92,-1,-1,86,79,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,52,51,-1,80,58,65,78,70,85,-1,88,93,82,-1,75,62,64,-1,51,57,59,-1,-1,-1,-1,49,-1,40,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,50,43
New York Hilton Midtown,-1,-1,47,48,-1,-1,37,-1,-1,30,49,33,-1,36,33,-1,37,31,-1,-1,31,31,-1,37,-1,-1,95,-1,-1,49,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,86,76,-1,-1,-1,87,-1,-1,100,56,-1,60,-1,54,-1,-1,-1,95,95,-1,58,64,70,-1,54,45,-1,-1,-1,75,-1,73,73,75,74,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,44,-1,62,-1,-1,-1,-1,76,56,-1,-1,42,39,-1,38,33,-1,27,42,28,25,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,42,45,-1,-1,-1,53,29,-1,-1,-1,-1,-1,-1,65,83,4,0,0,1,50,35,22,8,2,53,67,-1,-1,-1,-1,-1,-1,-1,-1,-1
New York Marriott Downtown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,24,-1,-1,30,-1,81,-1,-1,-1,-1,-1,-1,88,-1,-1,78,-1,-1,87,-1,-1,-1,100,-1,73,-1,-1,73,69,64,-1,87,82,-1,-1,-1,-1,-1,61,66,70,-1,-1,68,64,59,-1,82,77,-1,49,55,58,-1,-1,40,36,32,-1,65,68,-1,-1,51,55,-1,45,48,44,39,70,59,55,-1,-1,71,76,-1,-1,50,53,-1,43,41,37,33,28,43,39,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,29,32,-1,-1,24,21,17,-1,-1,38,-1,-1,13,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,-1,-1,45,-1,-1,-1,-1,-1
New York Marriott East Side,-1,17,-1,-1,-1,19,-1,-1,9,18,-1,-1,0,6,-1,-1,-1,19,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,70,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,92,-1,-1,-1,63,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,-1,51,-1,-1,-1,67,-1,-1,54,67,69,-1,-1,88,-1,-1,-1,-1,-1,-1,-1,44,62,-1,28,39,-1,-1,-1,32,37,29,-1,67,59,-1,-1,88,-1,-1,-1,-1,79,-1,-1,50,-1,-1,-1,25,-1,-1,-1,50,52,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
New York Marriott at the Brooklyn Bridge,16,-1,13,-1,-1,8,13,14,-1,-1,21,-1,-1,-1,12,-1,-1,-1,18,-1,-1,-1,-1,-1,44,52,39,-1,-1,35,35,39,-1,-1,52,-1,-1,-1,67,-1,-1,56,73,-1,-1,86,-1,-1,-1,-1,-1,-1,-1,87,85,94,-1,84,100,-1,-1,-1,-1,-1,-1,-1,94,-1,-1,82,90,92,-1,97,-1,-1,-1,-1,-1,-1,-1,65,63,-1,-1,45,-1,-1,39,-1,41,-1,-1,32,30,27,-1,40,29,-1,-1,-1,-1,-1,21,-1,46,-1,-1,28,26,16,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,5,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Newark Liberty International Airport Marriott,11,22,38,-1,-1,52,18,11,5,17,35,-1,0,10,20,-1,-1,46,10,0,-1,55,-1,-1,2,12,22,-1,-1,65,17,8,84,68,-1,-1,27,42,52,-1,-1,64,36,21,78,68,60,-1,16,28,42,-1,-1,57,26,16,85,69,-1,-1,30,38,51,-1,12,21,36,-1,-1,60,20,14,100,92,-1,-1,16,26,41,-1,-1,50,17,11,-1,25,35,51,10,20,36,-1,-1,47,15,10,84,68,-1,-1,-1,21,31,46,11,21,36,-1,-1,48,16,11,86,69,-1,-1,85,75,-1,-1,-1,28,38,53,17,27,42,-1,-1,51,22,15,84,65,-1,-1,16,33,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,55,22,10,76,59,-1,-1,75,66,-1,-1
Omni Berkshire Place,17,12,17,22,13,15,22,26,5,6,13,17,0,3,15,13,8,5,3,0,8,6,10,47,-1,71,91,100,59,52,47,51,60,56,52,-1,-1,73,78,80,-1,-1,-1,-1,51,43,39,62,78,-1,-1,-1,-1,-1,43,39,51,47,45,-1,-1,-1,-1,-1,-1,50,52,48,-1,41,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,33,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,32,34,55,34,42,36,59,50,44,40,70,50,49,-1,77,-1,50,60,46,41,50,58,-1,57,-1,-1,52,45,-1,39,-1,-1,-1,25,-1,11,8,19,-1,15,15,9,-1,4,4,31,54,46,55,52,84,-1,-1,66
Park Hyatt New York,0,9,9,18,18,2,1,0,28,-1,9,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,-1,-1,-1,-1,71,59,-1,-1,71,-1,100,61,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,43,-1,40,41,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,64,66,60,62,64,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,64,66,-1,62,64,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,64,60,-1,14,16,53,16,14,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quality Inn Convention Center,64,67,32,64,-1,-1,66,66,26,28,-1,-1,-1,-1,-1,-1,0,2,14,-1,-1,-1,-1,-1,-1,81,78,74,-1,-1,-1,-1,47,-1,-1,73,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,75,-1,65,76,84,70,65,76,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,43,33,19,-1,-1,-1,-1,-1,30,30,30,21,30,30,18,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,64,-1,48,-1,-1,-1
Quality Inn Woodside,-1,-1,-1,-1,-1,48,40,48,-1,21,16,-1,-1,38,-1,-1,-1,-1,40,36,-1,36,36,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,41,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,100,-1,-1,-1,63,79,-1,70,-1,-1,-1,100,88,79,-1,90,78,-1,-1,80,100,-1,73,79,91,-1,67,76,100,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,41,42,-1,-1,35,42,-1,-1,39,32,-1,-1,29,14,-1,22,9,14,-1,5,9,14,-1,-1,14,9,5,-1,25,20,15,-1,21,21,-1,17,21,28,-1,-1,22,21,17,-1,9,8,-1,7,10,16,-1,-1,7,2,0,17,21,28,-1,-1,-1,-1,-1,-1,-1,-1,-1
Radisson Martinique on Broadway,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,53,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,59,59,59,-1,77,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,71,-1,-1,-1,71,-1,-1,83,74,93,100,-1,-1,67,61,-1,-1,57,-1,-1,59,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,-1,-1,25,-1,29,10,12,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,35,-1,51,48,-1
Ramada Long Island City,-1,-1,-1,-1,-1,9,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,33,-1,31,43,48,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,72,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,72,69,78,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,14,12,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,13,-1,-1,-1,-1,-1,0,-1,3,-1,-1,-1,-1,-1,-1,13,-1,-1,10,8,13,-1,-1,-1,-1,-1
Red Carpet Inn New York City,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,39,-1,41,56,70,-1,-1,-1,-1,-1,-1,100,-1,-1,58,75,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,0,15,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,0,15,-1,-1,-1,-1,-1,14,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,0,15,-1,-1,-1,-1,-1,-1,0,15,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,0,15,-1,-1,-1,-1,-1,-1
Renaissance Newark Airport Hotel,-1,-1,-1,85,-1,-1,-1,-1,-1,-1,-1,85,23,37,-1,81,-1,63,-1,23,79,-1,39,-1,19,35,53,-1,-1,57,-1,21,71,-1,33,-1,-1,35,51,-1,-1,-1,-1,27,69,-1,37,-1,23,39,-1,-1,-1,61,-1,23,81,-1,43,-1,51,-1,-1,-1,35,59,-1,77,-1,55,100,33,71,81,61,-1,-1,-1,-1,-1,-1,61,-1,37,-1,51,-1,-1,25,45,-1,-1,-1,55,-1,25,75,53,43,-1,-1,-1,-1,-1,25,41,-1,-1,-1,57,-1,29,79,-1,51,-1,77,73,-1,-1,-1,49,65,91,0,13,32,-1,-1,59,12,1,81,-1,41,-1,-1,10,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,51,10,2,71,-1,35,-1,-1,59,-1,-1
Residence Inn New York The Bronx At Metro Center Atrium,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Residence Inn Newark Elizabeth Liberty International Airport,65,72,82,-1,-1,-1,55,65,55,65,77,-1,-1,-1,-1,-1,-1,-1,70,55,-1,-1,-1,-1,53,60,72,-1,-1,-1,63,58,-1,-1,-1,-1,58,79,82,-1,-1,-1,74,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,89,86,-1,52,-1,100,-1,-1,-1,-1,56,-1,-1,-1,-1,51,52,96,-1,-1,-1,56,51,-1,34,42,57,23,28,43,-1,-1,-1,28,20,-1,-1,-1,-1,58,19,11,24,10,8,21,-1,-1,-1,19,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,22,35,8,15,28,-1,-1,-1,15,8,-1,-1,-1,-1,0,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,0,-1,-1,-1,-1,-1,-1,-1,-1
Residence Inn by Marriott New York Manhattan Midtown East,15,17,19,-1,-1,27,9,8,9,-1,-1,-1,4,6,-1,-1,-1,-1,2,0,-1,-1,14,11,79,83,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,72,72,72,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,-1
Roxy Hotel Tribeca (formerly the Tribeca Grand Hotel),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,67,-1,49,49,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,57,-1,-1,62,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,35,15,-1,55,55,-1,46,45,-1,32,9,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,39,-1,35,35,-1
SIXTY Lower East Side,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,60,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,34,36,-1,-1,-1,-1,-1,-1,-1,63,100,-1,-1,52,-1,-1,43,46,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,56,59,-1,-1,-1,-1,-1,-1,-1,42,-1,-1,39,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,26,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,18,20,-1,-1,-1,-1,-1,-1,22,16,22,22,-1,-1,-1,-1,0,1,-1,0,8,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
San Carlos Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,4,5,1,-1,1,1,-1,2,1,100,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,2,1,-1,-1,3,3,-1
